# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
12.0000 M5 1095971 6 7.0000 Node3 Node9 9 N Node3->Node4->Node5->Node6->Node7->Node8->Node9
13.0000 M3 829931 3 10.0000 Node30 Node73 9 N Node30->Node85->Node74->Node73
18.0000 M9 1066703 7 9.0000 Node48 Node41 9 N Node48->Node47->Node46->Node45->Node44->Node43->Node42->Node41
19.0000 M13 1167273 3 6.0000 Node31 Node20 9 N Node31->Node30->Node85->Node20
23.0000 M4 868122 4 19.0000 Node33 Node11 9 N Node33->Node32->Node82->Node12->Node11
25.0000 M19 1106872 3 6.0000 Node54 Node31 9 N Node54->Node82->Node32->Node31
29.0000 M18 1046091 4 11.0000 Node71 Node51 9 N Node71->Node70->Node90->Node52->Node51
29.0000 M23 1187290 4 6.0000 Node37 Node60 9 N Node37->Node38->Node84->Node87->Node60
30.0000 M14 828040 3 16.0000 Node21 Node14 9 N Node21->Node22->Node82->Node14
31.0000 M12 887686 4 19.0000 Node1 Node33 9 N Node1->Node2->Node93->Node34->Node33
32.0000 M26 853631 2 6.0000 Node10 Node0 9 N Node10->Node81->Node0
36.0000 M28 1007936 4 8.0000 Node13 Node21 9 N Node13->Node12->Node94->Node20->Node21
36.0000 M33 1182211 3 3.0000 Node29 Node26 9 N Node29->Node28->Node27->Node26
37.0000 M36 1022078 1 1.0000 Node57 Node58 9 N Node57->Node58
39.0000 M29 854050 3 10.0000 Node72 Node13 9 N Node72->Node82->Node14->Node13
40.0000 M34 1034520 3 6.0000 Node22 Node63 9 N Node22->Node82->Node64->Node63
42.0000 M32 865997 3 10.0000 Node66 Node49 9 N Node66->Node88->Node48->Node49
42.0000 M39 1013054 3 3.0000 Node73 Node64 9 N Node73->Node72->Node82->Node64
45.0000 M11 869587 4 34.0000 Node53 Node37 9 N Node53->Node54->Node81->Node36->Node37
49.0000 M44 1136576 4 5.0000 Node55 Node21 9 N Node55->Node56->Node94->Node22->Node21
51.0000 M37 1127290 6 14.0000 Node73 Node79 9 N Node73->Node74->Node75->Node76->Node77->Node78->Node79
52.0000 M38 975325 3 14.0000 Node29 Node70 9 N Node29->Node28->Node84->Node70
52.0000 M45 844772 2 7.0000 Node70 Node36 9 N Node70->Node87->Node36
53.0000 M46 1148331 4 7.0000 Node33 Node11 9 N Node33->Node32->Node82->Node12->Node11
53.0000 M40 896607 4 13.0000 Node3 Node65 9 N Node3->Node4->Node82->Node64->Node65
56.0000 M50 1190930 2 6.0000 Node74 Node56 9 N Node74->Node94->Node56
56.0000 M43 923274 4 13.0000 Node70 Node76 9 N Node70->Node79->Node78->Node77->Node76
60.0000 M41 848641 5 19.0000 Node29 Node65 9 N Node29->Node28->Node91->Node88->Node66->Node65
61.0000 M58 923927 1 3.0000 Node27 Node26 9 N Node27->Node26
63.0000 M59 1173287 3 4.0000 Node74 Node77 9 N Node74->Node75->Node76->Node77
63.0000 M49 937538 4 14.0000 Node32 Node36 9 N Node32->Node33->Node34->Node35->Node36
63.0000 M27 1163205 3 36.0000 Node23 Node2 9 N Node23->Node22->Node94->Node2
64.0000 M20 854268 5 44.0000 Node51 Node37 9 N Node51->Node50->Node92->Node95->Node38->Node37
65.0000 M51 1016892 4 14.0000 Node5 Node38 9 N Node5->Node6->Node92->Node95->Node38
