# time  Id  DTNHost  true/false
545.0000 M11 206 true
545.0000 M21 219 true
545.0000 M11 203 true
545.0000 M11 76 true
545.0000 M11 204 true
545.0000 M11 207 true
545.0000 M21 217 true
550.0000 M11 77 true
550.0000 M12 200 true
600.0000 M111 85 true
600.0000 M22 82 true
600.0000 M11 5 true
600.0000 M26 5 true
600.0000 M22 80 true
600.0000 M22 81 true
600.0000 M110 37 true
600.0000 M29 91 true
600.0000 M27 181 true
600.0000 M29 90 true
600.0000 M18 29 true
600.0000 M210 51 true
600.0000 M210 52 true
600.0000 M23 20 true
600.0000 M24 71 true
600.0000 M16 196 true
600.0000 M13 56 true
600.0000 M23 150 true
600.0000 M25 42 true
600.0000 M19 8 true
600.0000 M24 70 true
600.0000 M24 171 true
600.0000 M14 171 true
600.0000 M110 38 true
600.0000 M111 86 true
600.0000 M12 31 true
600.0000 M111 211 true
600.0000 M110 39 true
600.0000 M12 30 true
600.0000 M18 30 true
600.0000 M110 35 true
600.0000 M17 35 true
600.0000 M110 186 true
600.0000 M22 165 true
600.0000 M21 165 true
600.0000 M25 40 true
600.0000 M26 40 true
600.0000 M13 205 true
600.0000 M11 205 true
600.0000 M18 205 true
600.0000 M111 205 true
600.0000 M210 205 true
600.0000 M25 205 true
600.0000 M26 205 true
600.0000 M21 25 true
600.0000 M210 25 true
600.0000 M12 201 true
600.0000 M11 201 true
600.0000 M18 201 true
600.0000 M19 201 true
600.0000 M17 201 true
600.0000 M14 201 true
600.0000 M110 201 true
600.0000 M210 201 true
600.0000 M21 201 true
600.0000 M26 201 true
600.0000 M11 75 true
600.0000 M18 75 true
600.0000 M25 41 true
600.0000 M19 10 true
600.0000 M111 209 true
600.0000 M110 36 true
600.0000 M17 36 true
600.0000 M12 202 true
600.0000 M19 202 true
600.0000 M16 202 true
600.0000 M17 202 true
600.0000 M14 202 true
600.0000 M23 202 true
600.0000 M110 202 true
604.0000 M211 149 true
604.0000 M27 135 true
604.0000 M28 135 true
604.0000 M110 185 true
604.0000 M17 185 true
604.0000 M13 55 true
604.0000 M111 55 true
605.0000 M13 208 true
605.0000 M15 208 true
605.0000 M111 208 true
605.0000 M22 208 true
605.0000 M25 208 true
605.0000 M28 208 true
605.0000 M29 208 true
605.0000 M27 180 true
605.0000 M15 218 true
605.0000 M27 218 true
605.0000 M24 170 true
605.0000 M14 170 true
605.0000 M15 212 true
605.0000 M211 212 true
605.0000 M22 212 true
605.0000 M23 212 true
605.0000 M25 212 true
605.0000 M27 212 true
605.0000 M29 212 true
605.0000 M13 207 true
605.0000 M18 207 true
605.0000 M111 207 true
605.0000 M210 207 true
605.0000 M24 207 true
605.0000 M25 207 true
605.0000 M26 207 true
605.0000 M210 50 true
605.0000 M12 217 true
605.0000 M19 217 true
605.0000 M16 217 true
605.0000 M17 217 true
605.0000 M14 217 true
605.0000 M110 217 true
605.0000 M211 217 true
605.0000 M24 217 true
605.0000 M23 217 true
605.0000 M18 206 true
605.0000 M210 206 true
605.0000 M26 206 true
605.0000 M12 219 true
605.0000 M19 219 true
605.0000 M16 219 true
605.0000 M17 219 true
605.0000 M14 219 true
605.0000 M110 219 true
605.0000 M211 219 true
605.0000 M22 219 true
605.0000 M24 219 true
605.0000 M23 219 true
605.0000 M27 219 true
